StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[49, 34]",[104],[114],"[49, 34]",[False],[0],"[0.009502380000000013, 0.004323409999999989]",[0.006681920000000133],[0.007334098815917945],"[0.0022652000000000037, 0.005656349999999994]",[0.0],1,0.5
"[49, 34]",[97],[114],"[48, 34]",[False],[0],"[0.0022652000000000037, 0.005656349999999994]",[0.0022990500000000334],[0.0009490585327148644],"[0.005340499999999998, 0.008848829999999992]",[0.0],1,0.5
"[48, 34]",[104],[113],"[47, 35]",[False],[0],"[0.005340499999999998, 0.008848829999999992]",[0.0072790099999999885],[0.00831300735473626],"[0.008826600000000037, 0.00016692999999998008]",[0.0],1,1.0
"[47, 35]",[100],[113],"[47, 35]",[False],[0],"[0.008826600000000037, 0.00016692999999998008]",[0.004396680000000132],[0.0035328102111816615],"[0.0025808000000000133, 0.002556960000000023]",[0.0],1,0.5
"[47, 35]",[99],[112],"[46, 35]",[False],[0],"[0.0025808000000000133, 0.002556960000000023]",[0.0034908800000000555],[0.008207397460937432],"[0.0067319300000000075, 0.00521968000000003]",[0.0],1,0.5
"[46, 35]",[86],[111],"[46, 36]",[False],[0],"[0.0067319300000000075, 0.00521968000000003]",[0.006922310000000067],[0.0065534973144530575],"[0.0014778400000000184, 0.0010466300000000275]",[0.0],1,1.0
"[46, 36]",[103],[111],"[45, 36]",[False],[0],"[0.0014778400000000184, 0.0010466300000000275]",[0.0044617600000000975],[0.003276576995849675],"[0.006932700000000016, 0.0026850400000000066]",[0.0],1,1.0
"[45, 36]",[96],[110],"[45, 36]",[False],[0],"[0.006932700000000016, 0.0026850400000000066]",[0.008368610000000054],[0.006694984436035178],"[0.0027378299999999984, 0.005975870000000029]",[0.0],1,0.5
"[45, 36]",[84],[109],"[44, 37]",[False],[0],"[0.0027378299999999984, 0.005975870000000029]",[0.008319460000000119],[0.004110965728759743],"[0.009229499999999995, 0.0022678599999999983]",[0.0],1,0.5
"[44, 37]",[89],[108],"[44, 37]",[False],[0],"[0.009229499999999995, 0.0022678599999999983]",[0.0015468700000000838],[0.0036883544921873443],"[0.00667032, 0.007479210000000002]",[0.0],1,0.5
"[44, 37]",[94],[107],"[44, 38]",[False],[0],"[0.00667032, 0.007479210000000002]",[0.0019233800000000682],[0.005784492492675803],"[0.0048777699999999966, 0.0014311200000000045]",[0.0],1,0.5
"[44, 38]",[95],[106],"[44, 38]",[False],[0],"[0.00423948499999998, 0.0023169049999999768]",[0.00992129000000013],[0.007009019851684371],"[0.0031969700000000142, 0.005818914999999977]",[0.0],2,0.6666666666666666
"[44, 38]",[100],[105],"[44, 39]",[False],[0],"[0.002792740000000009, 0.008435140000000004]",[0.005766770000000122],[0.007065010070800759],"[0.0026679800000000073, 0.0007908300000000253]",[0.0],1,0.3333333333333333
"[44, 39]",[94],[104],"[44, 39]",[False],[0],"[0.0028547249999999955, 0.0031061150000000256]",[0.006439800000000034],[0.004756460189819137],"[0.0035564550000000625, 0.006945135000000052]",[0.0],2,0.6666666666666666
"[44, 39]",[91],[103],"[44, 40]",[False],[0],"[0.00407144000000003, 0.008468870000000022]",[0.0008543400000000766],[0.0022516441345215073],"[0.00567868000000004, 0.0031975400000000126]",[0.0],1,0.3333333333333333
"[44, 40]",[96],[102],"[44, 40]",[False],[0],"[0.00567868000000004, 0.0031975400000000126]",[0.00374610000000003],[0.005438976287841731],"[0.007971959999999993, 0.0066039499999999834]",[0.0],1,0.5
"[44, 40]",[101],[102],"[45, 40]",[False],[0],"[0.007971959999999993, 0.0066039499999999834]",[0.008604959999999983],[0.0013691711425780594],"[0.0007371400000000267, 0.00863884999999999]",[0.0],1,0.5
