StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[5, 0]",[29],[74],"[5, 0]",[False],[0],"[0.00950238000000002, 0.00432341]",[0.006681919999999982],[0.007334098815918042],"[0.0022652000000000106, 0.005656350000000004]",[0.0]
"[5, 0]",[22],[74],"[4, 0]",[False],[0],"[0.0022652000000000106, 0.005656350000000004]",[0.0022990499999999657],[0.0009490585327149616],"[0.005340500000000005, 0.008848830000000002]",[0.0]
"[4, 0]",[29],[73],"[3, 1]",[False],[0],"[0.005340500000000005, 0.008848830000000002]",[0.007279009999999949],[0.008313007354736357],"[0.008826600000000044, 0.00016693000000000437]",[0.0]
"[3, 1]",[25],[73],"[3, 1]",[False],[0],"[0.008826600000000044, 0.00016693000000000437]",[0.004396679999999981],[0.0035328102111817587],"[0.0025808000000000202, 0.0025569600000000057]",[0.0]
"[3, 1]",[24],[72],"[2, 1]",[False],[0],"[0.0025808000000000202, 0.0025569600000000057]",[0.00349087999999996],[0.00820739746093753],"[0.006731930000000014, 0.005219679999999999]",[0.0]
"[2, 1]",[11],[71],"[2, 2]",[False],[0],"[0.006731930000000014, 0.005219679999999999]",[0.0069223099999999715],[0.006553497314453155],"[0.0014778400000000254, 0.0010466300000000033]",[0.0]
"[2, 2]",[28],[71],"[1, 2]",[False],[0],"[0.0014778400000000254, 0.0010466300000000033]",[0.004461760000000002],[0.0032765769958497722],"[0.0069327000000000225, 0.002685040000000003]",[0.0]
"[1, 2]",[21],[70],"[1, 2]",[False],[0],"[0.0069327000000000225, 0.002685040000000003]",[0.008368609999999986],[0.006694984436035275],"[0.0027378300000000053, 0.005975870000000001]",[0.0]
"[1, 2]",[9],[69],"[0, 3]",[False],[0],"[0.0027378300000000053, 0.005975870000000001]",[0.008319459999999968],[0.00411096572875984],"[0.009229500000000002, 0.0022678600000000017]",[0.0]
"[0, 3]",[14],[68],"[0, 3]",[False],[0],"[0.009229500000000002, 0.0022678600000000017]",[0.0015468699999999884],[0.0036883544921874414],"[0.006670320000000007, 0.007479209999999998]",[0.0]
"[0, 3]",[19],[67],"[0, 4]",[False],[0],"[0.006670320000000007, 0.007479209999999998]",[0.0019233799999999728],[0.0057844924926759005],"[0.0048777700000000035, 0.001431120000000001]",[0.0]
"[0, 4]",[27],[67],"[0, 4]",[False],[0],"[0.0048777700000000035, 0.001431120000000001]",[0.009138139999999973],[0.002241401672363223],"[0.0036012000000000266, 0.003202690000000001]",[0.0]
"[0, 4]",[14],[66],"[0, 4]",[False],[0],"[0.0036012000000000266, 0.003202690000000001]",[0.0007044399999999833],[0.0017766380310059345],"[0.0027927400000000158, 0.00843514]",[0.0]
"[0, 4]",[25],[65],"[0, 5]",[False],[0],"[0.0027927400000000158, 0.00843514]",[0.005766769999999971],[0.0070650100708008565],"[0.0026679800000000142, 0.000790830000000001]",[0.0]
"[0, 5]",[16],[64],"[0, 5]",[False],[0],"[0.0026679800000000142, 0.000790830000000001]",[0.004780449999999964],[0.00780397415161127],"[0.003041470000000046, 0.0054214000000000016]",[0.0]
"[0, 5]",[22],[64],"[0, 5]",[False],[0],"[0.003041470000000046, 0.0054214000000000016]",[0.008099149999999968],[0.0017089462280274192],"[0.004071440000000037, 0.008468870000000005]",[0.0]
"[0, 5]",[16],[63],"[0, 6]",[False],[0],"[0.004071440000000037, 0.008468870000000005]",[0.0008543399999999812],[0.0022516441345216045],"[0.005678680000000047, 0.0031975399999999952]",[0.0]
"[0, 6]",[21],[62],"[0, 6]",[False],[0],"[0.005678680000000047, 0.0031975399999999952]",[0.0037460999999999623],[0.005438976287841828],"[0.00797196, 0.006603949999999994]",[0.0]
"[0, 6]",[26],[62],"[1, 6]",[False],[0],"[0.00797196, 0.006603949999999994]",[0.008604959999999998],[0.0013691711425781565],"[0.0007371400000000337, 0.00863885]",[0.0]
